date,region,channel,revenue,orders,customers,ad_spend,satisfaction
2026-01-01,North,Web,12000,310,280,2200,8.4
2026-01-02,North,Retail,9400,210,190,1500,7.8
2026-01-03,South,Web,15600,370,330,2600,8.9
2026-01-04,East,Partner,7300,155,140,900,7.1
2026-01-05,West,Web,18400,420,390,3100,9.2
2026-01-06,South,Retail,11200,245,220,1800,8.0
2026-01-07,East,Web,9900,225,210,1300,7.6
2026-01-08,West,Partner,13300,285,260,1700,8.3
2026-01-09,North,Web,14100,335,300,2400,8.6
2026-01-10,South,Partner,8700,190,170,1200,7.4
